Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
0,0.0208,0.0040,0.8835,0.8440,0.0081,0.8890,0.9412
1,0.0297,0.0050,0.8539,0.7139,0.0100,0.8609,0.9253
2,0.0257,0.0045,0.8626,0.7658,0.0091,0.9037,0.9494
3,0.0247,0.0040,0.8659,0.7810,0.0081,0.8809,0.9367
4,0.0284,0.0057,0.8718,0.7801,0.0113,0.8915,0.9427
5,0.0298,0.0057,0.8744,0.7467,0.0113,0.8772,0.9346
6,0.0227,0.0041,0.8703,0.8020,0.0083,0.8927,0.9433
7,0.0272,0.0042,0.8633,0.7503,0.0084,0.8891,0.9413
8,0.0140,0.0023,0.8971,0.8924,0.0046,0.9125,0.9542
9,0.0266,0.0042,0.8648,0.7638,0.0084,0.8883,0.9408
10,0.0227,0.0028,0.8598,0.7735,0.0056,0.9005,0.9476
11,0.0201,0.0045,0.9003,0.8698,0.0090,0.8966,0.9455
12,0.0226,0.0038,0.8645,0.8050,0.0076,0.9087,0.9522
13,0.0288,0.0055,0.8640,0.7575,0.0109,0.8599,0.9247
14,0.0257,0.0051,0.8703,0.7869,0.0103,0.8889,0.9412
15,0.0227,0.0041,0.8644,0.8047,0.0081,0.8807,0.9366
16,0.0276,0.0046,0.8631,0.7550,0.0093,0.8856,0.9394
17,0.0249,0.0036,0.8548,0.7667,0.0073,0.8920,0.9429
18,0.0289,0.0054,0.8478,0.7517,0.0109,0.8885,0.9410
19,0.0236,0.0030,0.8451,0.7506,0.0059,0.8986,0.9466
20,0.0286,0.0063,0.8756,0.8055,0.0127,0.8672,0.9289
21,0.0235,0.0039,0.8749,0.7878,0.0077,0.8879,0.9406
22,0.0318,0.0073,0.8735,0.7662,0.0145,0.8728,0.9321
23,0.0179,0.0017,0.8733,0.8108,0.0034,0.9033,0.9492
24,0.0180,0.0024,0.8691,0.8307,0.0047,0.9173,0.9569
25,0.0243,0.0048,0.8672,0.8073,0.0096,0.9055,0.9504
