Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
0,0.0042,0.0000,0.9530,0.9516,0.0001,0.9356,0.9667
1,0.0046,0.0000,0.9613,0.9599,0.0001,0.9537,0.9763
2,0.0046,0.0001,0.9608,0.9634,0.0001,0.9500,0.9744
3,0.0039,0.0000,0.9661,0.9790,0.0000,0.9508,0.9748
4,0.0041,0.0000,0.9661,0.9717,0.0001,0.9481,0.9734
5,0.0041,0.0000,0.9662,0.9698,0.0001,0.9492,0.9739
6,0.0042,0.0000,0.9621,0.9609,0.0001,0.9525,0.9757
7,0.0040,0.0000,0.9702,0.9557,0.0001,0.9603,0.9797
8,0.0040,0.0000,0.9586,0.9712,0.0001,0.9396,0.9689
9,0.0041,0.0000,0.9690,0.9665,0.0001,0.9563,0.9777
10,0.0039,0.0000,0.9682,0.9670,0.0001,0.9612,0.9802
11,0.0039,0.0000,0.9621,0.9637,0.0001,0.9401,0.9691
12,0.0037,0.0000,0.9730,0.9885,0.0000,0.9578,0.9785
13,0.0037,0.0000,0.9706,0.9868,0.0000,0.9581,0.9786
14,0.0043,0.0000,0.9688,0.9576,0.0001,0.9549,0.9769
15,0.0038,0.0000,0.9692,0.9699,0.0000,0.9515,0.9751
16,0.0043,0.0000,0.9524,0.9496,0.0001,0.9517,0.9752
17,0.0041,0.0000,0.9699,0.9670,0.0001,0.9566,0.9778
18,0.0045,0.0000,0.9572,0.9483,0.0001,0.9459,0.9722
19,0.0042,0.0000,0.9635,0.9598,0.0001,0.9607,0.9799
20,0.0042,0.0000,0.9581,0.9676,0.0001,0.9303,0.9639
21,0.0038,0.0000,0.9658,0.9741,0.0001,0.9566,0.9778
22,0.0042,0.0001,0.9651,0.9681,0.0001,0.9498,0.9743
23,0.0044,0.0000,0.9732,0.9678,0.0001,0.9564,0.9777
24,0.0042,0.0000,0.9664,0.9652,0.0001,0.9541,0.9765
25,0.0043,0.0000,0.9654,0.9656,0.0001,0.9486,0.9736
26,0.0038,0.0000,0.9671,0.9732,0.0000,0.9528,0.9758
27,0.0038,0.0000,0.9715,0.9806,0.0000,0.9539,0.9764
28,0.0040,0.0000,0.9594,0.9699,0.0001,0.9413,0.9698
29,0.0043,0.0000,0.9670,0.9670,0.0001,0.9523,0.9756
30,0.0038,0.0000,0.9717,0.9802,0.0001,0.9579,0.9785
31,0.0039,0.0000,0.9737,0.9831,0.0000,0.9581,0.9786
32,0.0041,0.0000,0.9684,0.9754,0.0000,0.9422,0.9703
33,0.0041,0.0000,0.9555,0.9549,0.0001,0.9490,0.9739
34,0.0042,0.0000,0.9603,0.9658,0.0001,0.9462,0.9724
35,0.0037,0.0000,0.9673,0.9800,0.0000,0.9507,0.9747
36,0.0041,0.0000,0.9661,0.9755,0.0001,0.9543,0.9766
37,0.0046,0.0001,0.9609,0.9513,0.0001,0.9513,0.9750
38,0.0040,0.0000,0.9691,0.9764,0.0001,0.9527,0.9758
39,0.0040,0.0000,0.9663,0.9649,0.0001,0.9517,0.9753
40,0.0037,0.0000,0.9706,0.9892,0.0000,0.9570,0.9780
41,0.0038,0.0000,0.9736,0.9829,0.0000,0.9490,0.9738
42,0.0044,0.0001,0.9616,0.9661,0.0001,0.9518,0.9753
43,0.0048,0.0001,0.9528,0.9422,0.0001,0.9503,0.9745
44,0.0043,0.0000,0.9689,0.9665,0.0001,0.9480,0.9733
