Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
0,0.0059,0.0001,0.6223,0.8866,0.0002,0.9097,0.9527
1,0.0069,0.0001,0.5820,0.8244,0.0002,0.9198,0.9582
2,0.0055,0.0001,0.6142,0.8929,0.0001,0.9312,0.9644
3,0.0057,0.0001,0.6120,0.8924,0.0001,0.9274,0.9623
4,0.0060,0.0001,0.5919,0.8640,0.0001,0.9123,0.9541
5,0.0053,0.0000,0.6198,0.9069,0.0001,0.9240,0.9605
6,0.0064,0.0001,0.5917,0.8449,0.0002,0.9083,0.9520
7,0.0054,0.0001,0.6031,0.9020,0.0001,0.9343,0.9660
8,0.0054,0.0001,0.6286,0.9085,0.0002,0.9141,0.9551
9,0.0055,0.0001,0.6182,0.8998,0.0001,0.9338,0.9658
10,0.0065,0.0001,0.5929,0.8513,0.0002,0.9245,0.9608
11,0.0050,0.0001,0.6396,0.9249,0.0001,0.9131,0.9546
12,0.0066,0.0002,0.6052,0.8707,0.0003,0.9248,0.9609
13,0.0057,0.0001,0.6059,0.8843,0.0001,0.9267,0.9619
14,0.0062,0.0001,0.5963,0.8634,0.0002,0.9227,0.9598
15,0.0069,0.0001,0.5832,0.8301,0.0002,0.9024,0.9487
16,0.0064,0.0001,0.6100,0.8551,0.0002,0.9187,0.9576
17,0.0067,0.0001,0.5956,0.8370,0.0002,0.9162,0.9563
18,0.0059,0.0001,0.5946,0.8743,0.0001,0.9237,0.9603
19,0.0068,0.0001,0.5820,0.8444,0.0002,0.9279,0.9626
20,0.0058,0.0001,0.6196,0.8921,0.0002,0.8985,0.9465
21,0.0054,0.0001,0.6099,0.8946,0.0001,0.9275,0.9624
22,0.0066,0.0001,0.6082,0.8495,0.0003,0.9154,0.9558
23,0.0066,0.0001,0.5973,0.8565,0.0002,0.9274,0.9624
24,0.0060,0.0001,0.5938,0.8662,0.0002,0.9233,0.9601
25,0.0060,0.0001,0.6178,0.8789,0.0002,0.9231,0.9600
26,0.0057,0.0001,0.6101,0.8870,0.0001,0.9208,0.9588
27,0.0059,0.0001,0.6139,0.8913,0.0003,0.9228,0.9598
28,0.0061,0.0001,0.6190,0.8808,0.0002,0.9077,0.9516
29,0.0060,0.0001,0.6079,0.8740,0.0002,0.9291,0.9632
30,0.0059,0.0001,0.6046,0.8730,0.0002,0.9224,0.9596
31,0.0057,0.0001,0.6109,0.8851,0.0001,0.9329,0.9653
32,0.0058,0.0001,0.6108,0.8808,0.0001,0.9109,0.9534
33,0.0055,0.0001,0.6024,0.8919,0.0001,0.9178,0.9571
34,0.0056,0.0001,0.6099,0.8988,0.0001,0.9249,0.9610
35,0.0063,0.0001,0.6040,0.8639,0.0002,0.9117,0.9538
36,0.0060,0.0001,0.5992,0.8747,0.0002,0.9219,0.9594
37,0.0065,0.0001,0.5940,0.8415,0.0002,0.9219,0.9593
38,0.0070,0.0001,0.5814,0.8129,0.0002,0.9048,0.9500
39,0.0068,0.0003,0.6328,0.9075,0.0006,0.9338,0.9658
40,0.0057,0.0001,0.6252,0.8900,0.0001,0.9266,0.9619
41,0.0059,0.0001,0.6190,0.8799,0.0001,0.9123,0.9542
42,0.0059,0.0001,0.6240,0.8937,0.0003,0.9270,0.9621
43,0.0062,0.0001,0.5915,0.8629,0.0002,0.9277,0.9625
44,0.0061,0.0001,0.6027,0.8838,0.0002,0.9233,0.9601
45,0.0057,0.0001,0.6181,0.8953,0.0001,0.9258,0.9615
46,0.0056,0.0001,0.6179,0.8868,0.0001,0.9076,0.9516
47,0.0057,0.0001,0.6280,0.8825,0.0001,0.9169,0.9566
48,0.0056,0.0001,0.6134,0.8874,0.0001,0.9288,0.9631
49,0.0053,0.0001,0.6156,0.9089,0.0001,0.9275,0.9624
50,0.0056,0.0001,0.6107,0.8894,0.0001,0.9291,0.9632
51,0.0063,0.0001,0.6113,0.8682,0.0002,0.9217,0.9593
52,0.0071,0.0002,0.6040,0.8501,0.0003,0.9190,0.9578
53,0.0057,0.0001,0.6059,0.8891,0.0002,0.9083,0.9519
54,0.0061,0.0001,0.6058,0.8726,0.0002,0.9244,0.9607
55,0.0063,0.0001,0.5986,0.8596,0.0002,0.9222,0.9595
56,0.0064,0.0001,0.5996,0.8522,0.0002,0.9230,0.9599
57,0.0067,0.0001,0.5879,0.8512,0.0002,0.9287,0.9630
58,0.0061,0.0001,0.5982,0.8746,0.0002,0.9281,0.9627
59,0.0053,0.0001,0.6269,0.9094,0.0001,0.9301,0.9638
60,0.0056,0.0001,0.6135,0.8971,0.0002,0.9323,0.9649
61,0.0055,0.0001,0.6154,0.8981,0.0001,0.9316,0.9646
