Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
0,0.0045,0.0005,0.9665,0.9907,0.0010,0.9503,0.9745
1,0.0041,0.0000,0.9697,0.9931,0.0001,0.9604,0.9798
2,0.0036,0.0000,0.9675,0.9976,0.0000,0.9618,0.9805
3,0.0036,0.0000,0.9670,0.9983,0.0000,0.9549,0.9770
4,0.0039,0.0000,0.9684,0.9960,0.0000,0.9518,0.9753
5,0.0038,0.0000,0.9684,0.9963,0.0000,0.9539,0.9764
6,0.0043,0.0003,0.9693,0.9966,0.0005,0.9559,0.9774
7,0.0040,0.0001,0.9692,0.9913,0.0003,0.9655,0.9825
8,0.0036,0.0000,0.9709,0.9978,0.0000,0.9452,0.9718
9,0.0035,0.0000,0.9694,0.9963,0.0000,0.9625,0.9809
10,0.0038,0.0000,0.9703,0.9958,0.0000,0.9608,0.9800
11,0.0038,0.0000,0.9643,0.9949,0.0000,0.9383,0.9682
12,0.0033,0.0000,0.9679,0.9970,0.0000,0.9658,0.9826
13,0.0041,0.0001,0.9684,0.9902,0.0001,0.9568,0.9779
14,0.0038,0.0000,0.9717,0.9981,0.0000,0.9574,0.9783
15,0.0034,0.0000,0.9683,0.9992,0.0000,0.9580,0.9785
16,0.0035,0.0000,0.9680,0.9963,0.0000,0.9617,0.9805
17,0.0034,0.0000,0.9694,0.9980,0.0001,0.9638,0.9816
18,0.0036,0.0000,0.9690,0.9961,0.0000,0.9588,0.9790
19,0.0038,0.0001,0.9694,0.9976,0.0002,0.9656,0.9825
20,0.0036,0.0000,0.9617,0.9953,0.0000,0.9409,0.9696
21,0.0040,0.0001,0.9674,0.9955,0.0003,0.9593,0.9792
22,0.0042,0.0002,0.9698,0.9919,0.0004,0.9583,0.9787
23,0.0041,0.0001,0.9709,0.9931,0.0001,0.9620,0.9806
24,0.0035,0.0000,0.9703,0.9965,0.0000,0.9621,0.9807
25,0.0046,0.0002,0.9672,0.9896,0.0003,0.9526,0.9757
26,0.0035,0.0000,0.9664,0.9972,0.0000,0.9574,0.9782
